iter	Passed	Remaining
352	5064	9282
353	5076	9264
354	5089	9247
355	5102	9231
356	5115	9214
357	5129	9198
358	5141	9180
359	5155	9166
360	5169	9150
361	5181	9131
362	5193	9113
363	5205	9095
364	5218	9078
365	5231	9061
366	5242	9042
367	5253	9022
368	5265	9004
369	5278	8986
370	5289	8968
371	5302	8951
372	5314	8932
373	5326	8914
374	5338	8896
375	5349	8878
376	5361	8859
377	5373	8842
378	5385	8823
379	5397	8807
380	5410	8790
381	5423	8773
382	5435	8756
383	5448	8740
384	5461	8724
385	5474	8707
386	5486	8691
387	5501	8677
388	5516	8664
389	5530	8649
390	5543	8634
391	5560	8623
392	5574	8610
393	5588	8595
394	5602	8580
395	5616	8566
396	5630	8551
397	5643	8536
398	5656	8520
399	5668	8502
400	5679	8483
401	5691	8466
402	5703	8448
403	5719	8437
404	5734	8425
405	5751	8414
406	5767	8402
407	5781	8388
408	5796	8376
409	5811	8363
410	5826	8349
411	5838	8332
412	5852	8317
413	5864	8300
414	5876	8283
415	5887	8264
416	5898	8246
417	5910	8229
418	5922	8211
419	5933	8193
420	5944	8175
421	5956	8158
422	5967	8140
423	5977	8120
424	5989	8103
425	5999	8084
426	6009	8064
427	6020	8046
428	6032	8029
429	6042	8009
430	6053	7992
431	6064	7973
432	6074	7954
433	6086	7937
434	6096	7918
435	6106	7899
436	6117	7881
437	6129	7864
438	6140	7846
439	6151	7829
440	6162	7811
441	6173	7793
442	6185	7776
443	6196	7759
444	6205	7740
445	6216	7722
446	6227	7703
447	6237	7685
448	6248	7667
449	6259	7650
450	6270	7632
451	6281	7615
452	6292	7597
453	6303	7580
454	6314	7563
455	6325	7546
456	6336	7528
457	6348	7512
458	6360	7496
459	6371	7480
460	6383	7463
461	6395	7447
462	6407	7431
463	6419	7415
464	6431	7399
465	6443	7383
466	6454	7366
467	6466	7351
468	6479	7336
469	6492	7321
470	6504	7304
471	6515	7288
472	6526	7271
473	6538	7256
474	6549	7239
475	6561	7222
476	6572	7206
477	6582	7188
478	6595	7174
479	6607	7157
480	6617	7140
481	6628	7123
482	6640	7107
483	6651	7090
484	6661	7074
485	6673	7058
486	6686	7043
487	6696	7026
488	6709	7011
489	6720	6994
490	6730	6977
491	6743	6962
492	6754	6946
493	6765	6929
494	6775	6912
495	6785	6895
496	6795	6877
497	6807	6862
498	6819	6846
499	6830	6830
500	6845	6817
501	6859	6805
502	6873	6791
503	6888	6778
504	6903	6767
505	6918	6754
506	6933	6742
507	6946	6728
508	6959	6713
509	6970	6697
510	6980	6680
511	6993	6665
512	7004	6649
513	7015	6633
514	7026	6616
515	7037	6601
516	7047	6584
517	7058	6568
518	7069	6552
519	7080	6535
520	7090	6518
521	7103	6504
522	7115	6489
523	7126	6473
524	7137	6457
525	7148	6441
526	7159	6425
527	7170	6410
528	7182	6395
529	7193	6379
530	7205	6364
531	7216	6348
532	7226	6331
533	7236	6315
534	7247	6298
535	7257	6282
536	7268	6267
537	7279	6251
538	7290	6235
539	7300	6219
540	7311	6203
541	7321	6186
542	7333	6171
543	7347	6158
544	7359	6144
545	7371	6129
546	7384	6115
547	7396	6101
548	7409	6086
549	7423	6073
550	7436	6060
551	7449	6046
552	7462	6031
553	7474	6017
554	7486	6002
555	7499	5989
556	7512	5974
557	7524	5960
558	7535	5945
559	7549	5931
560	7562	5917
561	7573	5902
562	7585	5887
563	7597	5873
564	7610	5859
565	7622	5844
566	7634	5830
567	7649	5818
568	7664	5805
569	7678	5792
570	7689	5777
571	7701	5762
572	7712	5747
573	7724	5733
574	7735	5717
575	7747	5702
576	7757	5687
577	7768	5671
578	7779	5656
579	7792	5642
580	7803	5627
581	7813	5611
582	7831	5601
583	7843	5587
584	7854	5571
585	7865	5557
586	7877	5542
587	7891	5529
588	7906	5516
589	7919	5503
590	7934	5491
591	7950	5479
592	7964	5466
593	7979	5453
594	7994	5441
595	8012	5431
596	8028	5419
597	8045	5408
598	8059	5395
599	8071	5381
600	8083	5366
601	8094	5351
602	8107	5337
603	8118	5322
604	8131	5309
605	8143	5294
606	8154	5279
607	8165	5264
608	8177	5250
609	8189	5236
610	8200	5220
611	8210	5205
612	8222	5190
613	8233	5176
614	8244	5161
615	8255	5146
616	8267	5132
617	8278	5117
618	8289	5102
619	8301	5088
620	8313	5073
621	8323	5058
622	8334	5043
623	8345	5028
624	8356	5014
625	8367	4999
626	8378	4984
627	8389	4969
628	8401	4955
629	8412	4940
630	8422	4925
631	8433	4910
632	8444	4896
633	8456	4881
634	8467	4867
635	8478	4852
636	8488	4837
637	8500	4823
638	8511	4808
639	8522	4793
640	8533	4779
641	8545	4765
642	8557	4751
643	8568	4736
644	8580	4722
645	8593	4708
646	8604	4694
647	8616	4680
648	8628	4666
649	8639	4652
650	8651	4638
651	8664	4624
652	8675	4610
653	8686	4595
654	8698	4581
655	8711	4568
656	8724	4554
657	8736	4540
658	8748	4526
659	8760	4513
660	8773	4499
661	8785	4485
662	8798	4472
663	8812	4459
664	8823	4444
665	8834	4430
666	8846	4416
667	8858	4402
668	8870	4388
669	8881	4374
670	8893	4360
671	8906	4347
672	8918	4333
673	8928	4318
674	8940	4304
675	8952	4290
676	8964	4276
677	8977	4263
678	8990	4250
679	9002	4236
680	9014	4222
681	9027	4209
682	9039	4195
683	9055	4183
684	9071	4171
685	9086	4158
686	9100	4146
687	9117	4134
688	9131	4121
689	9146	4109
690	9161	4096
691	9174	4083
692	9187	4069
693	9198	4056
694	9210	4041
695	9222	4028
696	9234	4014
697	9247	4001
698	9258	3986
699	9270	3973
700	9282	3959
701	9295	3946
702	9308	3932
703	9321	3919
704	9335	3906
705	9350	3893
706	9364	3880
707	9376	3867
708	9387	3852
709	9399	3839
710	9410	3825
711	9422	3811
712	9433	3797
713	9444	3782
714	9456	3769
715	9468	3755
716	9479	3741
717	9490	3727
718	9501	3713
719	9513	3699
720	9524	3685
721	9536	3671
722	9547	3658
723	9558	3643
724	9568	3629
725	9580	3615
726	9591	3601
727	9602	3587
728	9613	3573
729	9624	3559
730	9636	3546
731	9647	3531
732	9657	3517
733	9667	3503
734	9679	3489
735	9689	3475
736	9701	3462
737	9713	3448
738	9723	3434
739	9734	3420
740	9746	3406
741	9756	3392
742	9766	3378
743	9777	3364
744	9788	3350
745	9799	3336
746	9810	3322
747	9821	3308
748	9831	3294
749	9844	3281
750	9855	3267
751	9866	3253
752	9877	3239
753	9886	3225
754	9896	3211
755	9906	3197
756	9916	3183
757	9926	3169
758	9936	3155
759	9945	3140
760	9956	3126
761	9967	3113
762	9977	3099
763	9988	3085
764	9998	3071
765	10008	3057
766	10018	3043
767	10029	3029
768	10040	3015
769	10050	3002
770	10060	2988
771	10073	2975
772	10085	2961
773	10096	2947
774	10107	2934
775	10118	2920
776	10129	2907
777	10142	2894
778	10155	2880
779	10167	2867
780	10181	2855
781	10195	2842
782	10209	2829
783	10223	2816
784	10239	2804
785	10255	2792
786	10268	2779
787	10280	2765
788	10291	2752
789	10302	2738
790	10314	2725
791	10324	2711
792	10335	2698
793	10346	2684
794	10357	2670
795	10369	2657
796	10379	2643
797	10389	2629
798	10400	2616
799	10411	2602
800	10421	2589
801	10432	2575
802	10442	2561
803	10453	2548
804	10463	2534
805	10475	2521
806	10486	2507
807	10497	2494
808	10507	2480
809	10517	2467
810	10528	2453
811	10538	2439
812	10549	2426
813	10559	2412
814	10570	2399
815	10581	2385
816	10592	2372
817	10602	2358
818	10614	2345
819	10625	2332
820	10635	2318
821	10646	2305
822	10657	2292
823	10667	2278
824	10678	2265
825	10691	2252
826	10701	2238
827	10712	2225
828	10722	2211
829	10732	2198
830	10744	2185
831	10754	2171
832	10765	2158
833	10776	2144
834	10786	2131
835	10797	2118
836	10808	2104
837	10819	2091
838	10831	2078
839	10843	2065
840	10856	2052
841	10869	2039
842	10882	2026
843	10894	2013
844	10906	2000
845	10916	1987
846	10928	1974
847	10939	1960
848	10949	1947
849	10960	1934
850	10972	1921
851	10984	1908
852	10996	1895
853	11010	1882
854	11023	1869
855	11036	1856
856	11048	1843
857	11061	1830
858	11074	1817
859	11087	1804
860	11099	1791
861	11110	1778
862	11122	1765
863	11134	1752
864	11146	1739
865	11158	1726
866	11170	1713
867	11183	1700
868	11195	1687
869	11207	1674
870	11220	1661
871	11232	1648
872	11243	1635
873	11257	1622
874	11272	1610
875	11289	1598
876	11306	1585
877	11323	1573
878	11342	1561
879	11360	1549
880	11376	1536
881	11391	1523
882	11405	1511
883	11419	1498
884	11431	1485
885	11441	1472
886	11452	1459
887	11463	1445
888	11476	1433
889	11489	1420
890	11501	1406
891	11511	1393
892	11522	1380
893	11534	1367
894	11545	1354
895	11556	1341
896	11568	1328
897	11580	1315
898	11592	1302
899	11604	1289
900	11616	1276
901	11627	1263
902	11638	1250
903	11650	1237
904	11664	1224
905	11675	1211
906	11686	1198
907	11698	1185
908	11710	1172
909	11722	1159
910	11735	1146
911	11747	1133
912	11759	1120
913	11770	1107
914	11783	1094
915	11796	1081
916	11808	1068
917	11823	1056
918	11834	1043
919	11846	1030
920	11858	1017
921	11869	1004
922	11883	991
923	11895	978
924	11906	965
925	11917	952
926	11930	939
927	11942	926
928	11952	913
929	11963	900
930	11974	887
931	11985	874
932	11997	861
933	12008	848
934	12018	835
935	12028	822
936	12040	809
937	12050	796
938	12061	783
939	12073	770
940	12083	757
941	12094	744
942	12105	731
943	12115	718
944	12126	705
945	12137	692
946	12147	679
947	12158	666
948	12170	654
949	12181	641
950	12192	628
951	12203	615
952	12214	602
953	12225	589
954	12235	576
955	12245	563
956	12257	550
957	12268	537
958	12279	524
959	12291	512
960	12303	499
961	12314	486
962	12325	473
963	12337	460
964	12347	447
965	12359	435
966	12372	422
967	12385	409
968	12398	396
969	12411	383
970	12426	371
971	12441	358
972	12456	345
973	12472	332
974	12485	320
975	12498	307
976	12510	294
977	12522	281
978	12534	268
979	12545	256
980	12556	243
981	12569	230
982	12581	217
983	12593	204
984	12606	191
985	12619	179
986	12631	166
987	12642	153
988	12654	140
989	12666	127
990	12678	115
991	12689	102
992	12703	89
993	12718	76
994	12731	63
995	12745	51
996	12759	38
997	12771	25
998	12784	12
999	12797	0
